RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
146,José David Ramírez,mx MEX,DF,León,26,1995,0.2,14,14,0,0,0,0,1,0,0,0,0,0,11,0,1,Partidos
147,Víctor Dávila,cl CHI,"DL,CC",León,24,1997,23.4,850,744,100,30,4,9,92,18,46,17,17,0,591,6,23,Partidos
148,Diego De Buen,mx MEX,"DF,CC",Puebla,31,1991,33.5,1539,1393,143,86,1,27,16,40,0,0,0,0,1238,3,9,Partidos
149,Sergio De los Ríos,mx MEX,CC,América,19,2003,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,Partidos
150,Arturo del Campo,mx MEX,CC,Toluca,19,2003,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
151,Gustavo Del Prete,ar ARG,"CC,DL",UNAM,26,1996,22.0,669,604,65,14,6,10,44,8,24,8,13,0,507,0,14,Partidos
152,Everardo Del Villar,mx MEX,DF,Toluca,17,2005,0.2,18,15,3,0,0,0,0,3,0,0,0,0,17,0,0,Partidos
153,Arturo Delgado,mx MEX,PO,UANL,20,2002,0.5,14,10,4,1,0,0,0,0,0,0,0,0,10,0,0,Partidos
154,Franco Di Santo,ar ARG,DL,Tijuana,33,1989,8.2,198,177,19,0,0,1,7,1,0,0,0,0,125,2,8,Partidos
155,Lucas Di Yorio,ar ARG,DL,León,25,1996,28.3,424,373,46,0,0,4,24,0,0,0,0,0,265,5,25,Partidos
156,Nicolás Díaz Huincales,cl CHI,DF,Tijuana,23,1999,29.4,1542,1385,154,55,0,15,52,73,13,0,13,0,1193,3,21,Partidos
157,Jair Díaz,mx MEX,DF,Tijuana,23,1998,15.7,645,493,150,13,0,7,30,136,1,0,0,0,429,2,20,Partidos
158,Diogo,br BRA,"DL,CC",UNAM,25,1996,18.9,419,396,21,1,1,0,28,9,0,0,0,0,276,2,12,Partidos
159,Cecilio Domínguez,py PAR,"CC,DL",Santos,27,1994,3.0,140,130,10,2,1,1,6,4,4,1,3,0,107,0,4,Partidos
