RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
245,Omar Govea,mx MEX,CC,Monterrey,26,1996,13,2,323,3.6,0,2,2,0,0,0,2,0,0.2,0.2,0.9,1.1,5,31,7,0.00,0.56,0.56,0.00,0.56,0.06,0.26,0.31,0.06,0.31,Partidos
246,Axel Grijalva,mx MEX,DF,Monterrey,22,2000,2,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
247,Javier Güemez,mx MEX,CC,Atlético,30,1991,33,28,2430,27.0,1,3,4,1,0,0,5,0,0.6,0.6,1.5,2.1,10,143,18,0.04,0.11,0.15,0.04,0.15,0.02,0.06,0.08,0.02,0.08,Partidos
248,Rafael Guerrero,mx MEX,DF,Cruz Azul,19,2003,12,9,837,9.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,27,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
249,Emanuel Gularte,uy URU,DF,Puebla,24,1997,19,18,1563,17.4,2,0,2,2,0,0,4,0,1.2,1.2,0.3,1.6,9,44,8,0.12,0.00,0.12,0.12,0.12,0.07,0.02,0.09,0.07,0.09,Partidos
250,Alexis Gutiérrez,mx MEX,CC,Cruz Azul,22,2000,5,3,315,3.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,14,8,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
251,Carlos Gutiérrez,mx MEX,"DF,DL",UNAM,23,1999,15,3,308,3.4,0,1,1,0,0,0,3,0,0.0,0.0,0.5,0.5,5,8,11,0.00,0.29,0.29,0.00,0.29,0.00,0.16,0.16,0.00,0.16,Partidos
252,Edson Gutiérrez,mx MEX,DF,Monterrey,26,1996,10,6,586,6.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,15,20,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
253,Gustavo Gutiérrez,mx MEX,PO,Toluca,25,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
254,Ricardo Gutiérrez,mx MEX,PO,Mazatlán,25,1997,13,12,1125,12.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
255,Carlos Guzmán,mx MEX,DF,Toluca,28,1994,6,5,429,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,12,11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Partidos
256,Carlos Guzmán,mx MEX,DF,Querétaro,28,1994,10,4,384,4.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,4,18,20,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
257,Nahuel Guzmán,ar ARG,PO,UANL,36,1986,33,33,2925,32.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
258,Víctor Guzmán,mx MEX,"CC,DL",Pachuca,27,1995,13,12,853,9.5,0,1,1,0,0,0,1,0,0.8,0.8,1.0,1.8,18,51,70,0.00,0.11,0.11,0.00,0.11,0.09,0.10,0.19,0.09,0.19,Partidos
259,Víctor Guzmán,mx MEX,DF,Tijuana,20,2002,16,16,1395,15.5,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,8,27,3,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.03,0.03,0.03,Partidos
260,Víctor Guzmán,mx MEX,"CC,DL",Guadalajara,27,1995,15,14,1186,13.2,7,2,9,4,3,3,2,1,4.8,2.5,2.6,5.1,14,83,69,0.53,0.15,0.68,0.30,0.46,0.37,0.20,0.57,0.19,0.39,Partidos
261,Víctor Guzmán,mx MEX,DF,Monterrey,20,2002,15,13,1233,13.7,1,1,2,1,0,0,2,0,0.3,0.3,0.1,0.4,0,15,0,0.07,0.07,0.15,0.07,0.15,0.02,0.00,0.03,0.02,0.03,Partidos
262,Abel Hernández,uy URU,DL,Atlético,31,1990,17,15,1267,14.1,8,0,8,6,2,2,2,0,5.2,3.6,0.8,4.4,4,17,45,0.57,0.00,0.57,0.43,0.43,0.37,0.05,0.42,0.26,0.31,Partidos
263,Daniel Hernández,mx MEX,CC,Puebla,20,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
264,Elías Hernández,mx MEX,CC,León,34,1988,19,7,694,7.7,0,0,0,0,0,0,0,0,1.0,1.0,3.5,4.5,29,37,69,0.00,0.00,0.00,0.00,0.00,0.13,0.45,0.59,0.13,0.59,Partidos
265,Fernando Hernández,mx MEX,PO,Monterrey,24,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
