RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
579,Facundo Waller,uy URU,"DL,CC",Atlético,25,1997,17,17,1348,15.0,1,2,3,1,0,0,3,0,2.0,2.0,1.6,3.6,50,44,81,0.07,0.13,0.20,0.07,0.20,0.13,0.11,0.24,0.13,0.24,Partidos
580,Facundo Waller,uy URU,"CC,DL",Puebla,25,1997,12,10,830,9.2,1,1,2,1,0,0,2,0,1.7,1.7,0.7,2.4,22,32,45,0.11,0.11,0.22,0.11,0.22,0.19,0.07,0.26,0.19,0.26,Partidos
581,Édgar Yoel Bárcenas,pa PAN,"DL,CC",Mazatlán,28,1993,28,22,2040,22.7,0,4,4,0,0,0,4,0,3.0,3.0,3.6,6.6,80,80,133,0.00,0.18,0.18,0.00,0.18,0.13,0.16,0.29,0.13,0.29,Partidos
582,Paolo Yrizar,mx MEX,DL,Guadalajara,24,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
583,Ángel Zaldívar,mx MEX,DL,Atlético,28,1994,15,7,704,7.8,1,1,2,0,1,1,2,0,3.3,2.5,0.9,3.4,3,18,34,0.13,0.13,0.26,0.00,0.13,0.42,0.12,0.54,0.32,0.44,Partidos
584,Ángel Zaldívar,mx MEX,DL,Guadalajara,28,1994,14,11,761,8.5,4,0,4,3,1,2,1,0,3.5,1.7,0.8,2.5,6,13,30,0.47,0.00,0.47,0.35,0.35,0.41,0.09,0.50,0.21,0.29,Partidos
585,Edgar Zaldívar,mx MEX,CC,Atlas,25,1996,28,19,1647,18.3,0,0,0,0,0,0,7,0,0.5,0.5,0.5,1.0,13,55,24,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Partidos
586,Ángel Zapata,mx MEX,CC,Monterrey,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
587,Alejandro Zendejas,us USA,"DL,CC",América,24,1998,28,25,1861,20.7,8,4,12,8,0,0,6,0,4.5,4.5,4.1,8.6,61,103,202,0.39,0.19,0.58,0.39,0.58,0.22,0.20,0.42,0.22,0.42,Partidos
588,José Zúñiga,co COL,DL,Querétaro,28,1994,17,10,984,10.9,2,1,3,2,0,0,1,0,4.0,4.0,0.4,4.4,16,12,60,0.18,0.09,0.27,0.18,0.27,0.37,0.04,0.40,0.37,0.40,Partidos
